step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_detections,metrics/test.rmse_detections_pcutoff,metrics/test.rmse_pcutoff
120,2.4130649762810208e-05,0.06484607607126236,0.0016332172090187669,0.0016332172090187669,1.792648617993109e-05,0.0173293836414814,0.00044219789560884237,0.00044219789560884237,92.32412714955706,93.0,2.838898181915283,2.838898181915283,2.838898181915283,2.838898181915283
121,,,,,1.8001877833739854e-05,0.017537305131554604,0.00044743361650034785,0.00044743361650034785,,,,,,
122,,,,,1.63343247550074e-05,0.01684042625129223,0.0004291778022889048,0.0004291778022889048,,,,,,
123,,,,,1.588095437909942e-05,0.01737077161669731,0.0004422097699716687,0.0004422097699716687,,,,,,
124,,,,,1.764478292898275e-05,0.017250055447220802,0.00044007375254295766,0.00044007375254295766,,,,,,
125,,,,,1.4843998542346526e-05,0.01607896015048027,0.0004093959869351238,0.0004093959869351238,,,,,,
126,,,,,1.607008744031191e-05,0.016919931396842003,0.00043103331699967384,0.00043103331699967384,,,,,,
127,,,,,1.673061888141092e-05,0.016825135797262192,0.0004289936914574355,0.0004289936914574355,,,,,,
128,,,,,1.6491367205162533e-05,0.017573470249772072,0.00044758248259313405,0.00044758248259313405,,,,,,
129,,,,,1.8426762835588306e-05,0.01611829362809658,0.00041217071702703834,0.00041217071702703834,,,,,,
130,2.4655610104673542e-05,0.06777475774288177,0.0017066964646801353,0.0017066964646801353,1.5785970390425064e-05,0.017639771103858948,0.0004488872364163399,0.0004488872364163399,91.98019801980199,92.5,2.8385610580444336,2.8385605812072754,2.809450626373291,2.80945086479187
131,,,,,1.7010948795359582e-05,0.017183363437652588,0.0004380895697977394,0.0004380895697977394,,,,,,
132,,,,,1.8743348846328445e-05,0.017540721222758293,0.0004478897317312658,0.0004478897317312658,,,,,,
133,,,,,1.9330922441440634e-05,0.018510811030864716,0.00047243578592315316,0.00047243578592315316,,,,,,
134,,,,,1.77244255610276e-05,0.017307311296463013,0.00044154500938020647,0.00044154500938020647,,,,,,
135,,,,,1.5853594959480688e-05,0.016558615490794182,0.0004218921822030097,0.0004218921822030097,,,,,,
136,,,,,1.584603887749836e-05,0.016143908724188805,0.00041152077028527856,0.00041152077028527856,,,,,,
137,,,,,1.464283650420839e-05,0.015343104489147663,0.0003908990474883467,0.0003908990474883467,,,,,,
138,,,,,1.4804593774897512e-05,0.015762515366077423,0.00040146519313566387,0.00040146519313566387,,,,,,
139,,,,,1.616123699932359e-05,0.01629588194191456,0.00041547766886651516,0.00041547766886651516,,,,,,
140,2.4348151782760397e-05,0.06512761861085892,0.0016403647605329752,0.0016403647605329752,1.4724375432706438e-05,0.015990324318408966,0.0004071202711202204,0.0004071202711202204,90.54746651135702,91.00000000000001,2.7102179527282715,2.7102181911468506,2.7102181911468506,2.7102179527282715
141,,,,,1.57767553901067e-05,0.01573737896978855,0.0004013228463009,0.0004013228463009,,,,,,
142,,,,,1.5934789189486764e-05,0.018816333264112473,0.00047837570309638977,0.00047837570309638977,,,,,,
143,,,,,1.6181569662876427e-05,0.017552049830555916,0.0004468920233193785,0.0004468920233193785,,,,,,
144,,,,,1.5872039512032643e-05,0.016141679137945175,0.0004114780167583376,0.0004114780167583376,,,,,,
145,,,,,1.5370567780337296e-05,0.01571466773748398,0.0004005520313512534,0.0004005520313512534,,,,,,
146,,,,,1.5423516742885113e-05,0.01470887940376997,0.00037543376674875617,0.00037543376674875617,,,,,,
147,,,,,1.4552390894095879e-05,0.015634732320904732,0.000398144475184381,0.000398144475184381,,,,,,
148,,,,,1.6562205928494222e-05,0.017290420830249786,0.0004405416257213801,0.0004405416257213801,,,,,,
149,,,,,1.7034184566000476e-05,0.016545630991458893,0.0004221579001750797,0.0004221579001750797,,,,,,
150,2.5423814804526046e-05,0.07264512032270432,0.001828840235248208,0.001828840235248208,1.6793597751529887e-05,0.01675582490861416,0.0004272924270480871,0.0004272924270480871,90.0,90.0,2.830022096633911,2.830022096633911,2.6822104454040527,2.6822104454040527
151,,,,,1.563443584018387e-05,0.015091554261744022,0.0003851061046589166,0.0003851061046589166,,,,,,
152,,,,,1.4172381270327605e-05,0.015174638479948044,0.0003864521568175405,0.0003864521568175405,,,,,,
153,,,,,1.5855359379202127e-05,0.014685960486531258,0.0003750766918528825,0.0003750766918528825,,,,,,
154,,,,,1.4775084309803788e-05,0.015142976306378841,0.0003859619318973273,0.0003859619318973273,,,,,,
155,,,,,1.528200118627865e-05,0.014407253824174404,0.00036782235838472843,0.00036782235838472843,,,,,,
156,,,,,1.344972406513989e-05,0.014724568463861942,0.0003748390590772033,0.0003748390590772033,,,,,,
157,,,,,1.4086902410781477e-05,0.015360720455646515,0.0003910614759661257,0.0003910614759661257,,,,,,
158,,,,,1.469942981202621e-05,0.014938535168766975,0.00038081311504356563,0.00038081311504356563,,,,,,
159,,,,,1.4601236216549296e-05,0.014811147004365921,0.0003775792720261961,0.0003775792720261961,,,,,,
160,2.313299228262622e-05,0.06947510689496994,0.0017484441632404923,0.0017484441632404923,1.5174598047451582e-05,0.01572021283209324,0.0004005926020909101,0.0004005926020909101,90.02912055911473,90.5,2.816445827484131,2.816445827484131,2.681588649749756,2.681588649749756
161,,,,,1.1965442354266997e-05,0.013161142356693745,0.00033501131110824645,0.00033501131110824645,,,,,,
162,,,,,1.1643698599073105e-05,0.011507890187203884,0.000293519115075469,0.000293519115075469,,,,,,
163,,,,,1.0922099136223551e-05,0.010807479731738567,0.00027564805350266397,0.00027564805350266397,,,,,,
164,,,,,1.066665026883129e-05,0.01104828342795372,0.00028154044412076473,0.00028154044412076473,,,,,,
165,,,,,1.1337881005601957e-05,0.010786587372422218,0.0002753336448222399,0.0002753336448222399,,,,,,
166,,,,,1.1078736861236393e-05,0.010684528388082981,0.00027265259996056557,0.00027265259996056557,,,,,,
167,,,,,1.0765748811536469e-05,0.01118294894695282,0.0002849565935321152,0.0002849565935321152,,,,,,
168,,,,,1.1094851288362406e-05,0.01026892103254795,0.0002622704778332263,0.0002622704778332263,,,,,,
169,,,,,1.2142080777266528e-05,0.010974573902785778,0.00028043537167832255,0.00028043537167832255,,,,,,
170,2.2603462639381178e-05,0.0661679059267044,0.0016654992941766977,0.0016654992941766977,1.057183453667676e-05,0.0105131259188056,0.0002681140904314816,0.0002681140904314816,91.98019801980199,92.5,2.696592330932617,2.696592330932617,2.696592330932617,2.696592330932617
171,,,,,1.0789850421133451e-05,0.01048216875642538,0.0002674491552170366,0.0002674491552170366,,,,,,
172,,,,,9.389680599269923e-06,0.009754774160683155,0.0002485642035026103,0.0002485642035026103,,,,,,
173,,,,,1.073024031938985e-05,0.01001555472612381,0.0002557539555709809,0.0002557539555709809,,,,,,
174,,,,,1.098597658710787e-05,0.010410401970148087,0.0002657530421856791,0.0002657530421856791,,,,,,
175,,,,,1.0056517567136325e-05,0.010032589547336102,0.00025584304239600897,0.00025584304239600897,,,,,,
176,,,,,1.0911962817772292e-05,0.01052928902208805,0.0002686882216949016,0.0002686882216949016,,,,,,
177,,,,,9.46998807194177e-06,0.009932918474078178,0.0002530579804442823,0.0002530579804442823,,,,,,
178,,,,,9.910047992889304e-06,0.009635422378778458,0.0002458405797369778,0.0002458405797369778,,,,,,
179,,,,,1.0270712664350867e-05,0.009958555921912193,0.0002540992572903633,0.0002540992572903633,,,,,,
180,2.232286351500079e-05,0.06675807386636734,0.0016801133751869202,0.0016801133751869202,9.532992407912388e-06,0.00933399610221386,0.00023811639402993023,0.00023811639402993023,91.98019801980199,92.5,2.696441173553467,2.696441173553467,2.696441173553467,2.696441173553467
181,,,,,1.1407682904973626e-05,0.010370131582021713,0.0002649571106303483,0.0002649571106303483,,,,,,
182,,,,,1.0749099601525813e-05,0.01001970749348402,0.0002558672276791185,0.0002558672276791185,,,,,,
183,,,,,1.1184400136698969e-05,0.009885981678962708,0.0002527417673263699,0.0002527417673263699,,,,,,
184,,,,,1.0827232472365722e-05,0.009576178155839443,0.0002448180748615414,0.0002448180748615414,,,,,,
185,,,,,1.047139085130766e-05,0.009813407436013222,0.00025057088350877166,0.00025057088350877166,,,,,,
186,,,,,1.0170698260481004e-05,0.009694335050880909,0.0002474437060300261,0.0002474437060300261,,,,,,
187,,,,,9.727204087539576e-06,0.009861684404313564,0.0002514057559892535,0.0002514057559892535,,,,,,
188,,,,,9.76059709500987e-06,0.009655117057263851,0.00024625821970403194,0.00024625821970403194,,,,,,
189,,,,,1.0067660696222447e-05,0.009873555973172188,0.0002518727269489318,0.0002518727269489318,,,,,,
190,2.2535085008712485e-05,0.0667220801115036,0.0016793195391073823,0.0016793195391073823,1.1568996342248283e-05,0.010012896731495857,0.00025610692682676017,0.00025610692682676017,91.98019801980199,92.5,2.677875518798828,2.677875280380249,2.677875280380249,2.677875518798828
191,,,,,9.636428330850322e-06,0.009305976331233978,0.0002374676550971344,0.0002374676550971344,,,,,,
192,,,,,9.792016498977318e-06,0.009528596885502338,0.00024311091692652553,0.00024311091692652553,,,,,,
193,,,,,8.489846550219227e-06,0.008954853750765324,0.00022811627422925085,0.00022811627422925085,,,,,,
194,,,,,9.436516847927123e-06,0.008900608867406845,0.0002272334968438372,0.0002272334968438372,,,,,,
195,,,,,9.30176247493364e-06,0.009288417175412178,0.0002368612913414836,0.0002368612913414836,,,,,,
196,,,,,9.328881787951104e-06,0.008813910186290741,0.00022501220519188792,0.00022501220519188792,,,,,,
197,,,,,8.915747457649559e-06,0.009041454643011093,0.00023049424635246396,0.00023049424635246396,,,,,,
198,,,,,8.952036296250299e-06,0.009077079594135284,0.00023140299890656024,0.00023140299890656024,,,,,,
199,,,,,9.739233064465225e-06,0.009260962717235088,0.00023639368009753525,0.00023639368009753525,,,,,,
200,2.254370519949589e-05,0.06695136427879333,0.0016850561369210482,0.0016850561369210482,9.449848221265711e-06,0.009182238951325417,0.0002342809020774439,0.0002342809020774439,91.98019801980199,92.5,2.684885025024414,2.684885025024414,2.684885025024414,2.684885025024414
